article_id,infraction_desc,categorie_vehicule,amende_fixe,points_retrait,mots_cles,type_paragraphe
2,الوطني خالل مده صالحيه الرخصه املذكوره دون ان تتجاوز املده املشار اليها في البند .اعاله,general,,,رخصه,autre
3,يجب علي الساءقين الحاصلين علي رخصه سياقه مسلمه بالخارج، بعد انصرام املده املشار اليها في املاده السابقه، ان يتقدموا المتحانات الحصول علي رخصه السياقه املغربيه، او ان يطلبوا تبديل .رخصتهم للسياقه تطبيقا للفقرات املواليه يمكن للمغاربه واالجانب الحاصلين علي رخصه سياقه مسلمه من قبل دوله يربطها باملغرب ا,general,,,"سياقه, رخصه",obligation
4,في حاله السير الدولي ووفقا لالتفاقيه الدوليه للسير علي الطرق، تسلم الهيءات املءهله لذلك من .قبل االداره، رخصه دوليه للسياقه موضوعه في دفتر خاص يجوز للساءقين من جنسيه اجنبيه، الحاصلين علي رخصه دوليه للسياقه، السياقه علي التراب 2 من,general,,,"سياقه, رخصه, دولي",autorisation
5,من 13 بتاريخ 1.16. رقم الشريف 012ال 34567بت ر8ا9ال .14 رقم القانون من الاولي ه8الما Eوجب وHمت ت0)غ ( :ص ،( اغسطس 11) القعده ذي 7 بتاريخ6490 8عد استثناء من احكام املاده االولي اعاله، يجوز للساءقين العسكريين الحاصلين علي اجازه السياقه : املسلمه من قبل السلطه التابعين لها، من اجل سياقه املركبات العسكري,militaire,,,"سياقه, رخصه, طريق, عسكري",autorisation
6,ال يجوز الي كان سياقه مركبه فالحيه ذات محرك او مركبه غابويه ذات محرك او اريبه لالشغال العموميه او اريبه خاصه ذات محرك، علي الطريق العموميه، مالم يكن حاصال علي رخصه للسياقه .مسلمه طبقا للماده االولي اعاله الباب الثاني اصناف رخصه السياقه,specialise,,,"سياقه, رخصه, مركبه, طريق",autorisation
7,من 13 بتاريخ 1.16. رقم الشريف 012ال 34567بت ر8ا9ال .14 رقم القانون من الاولي ه8الما Eوجب وHمت ت0)غ ( :ص ،( اغسطس 11) القعده ذي 7 بتاريخ 8عد .يحدد صنف رخصه السياقه حسب صنف او اصناف املركبه التي يمكن سياقتها ) و«هD( ») و«دC( ») و«جB( ») و«بA( ») و«ا( »1) و«اAM( »اصناف رخصه السياقه هي: «ام .)E)D(( »)) ,moto,,,"سياقه, رخصه, نقل",autre
